,certificate,director_name,genre,gross_value,imdb_ratings,metscores,movie_description,movie_names,runtime,star_cast,votes,year_release
0,R,James Mangold,Action,226277068,8.1,77,"[""In the near future, a weary Logan cares for an ailing Professor X, somewhere on the Mexican border. However, Logan's attempts to hide from the world, and his legacy, are upended when a young mutant arrives, pursued by dark forces.""]",Logan,137,James Mangold,452598,2017
1,R,James Mangold,Drama,226277068,8.1,77,"[""In the near future, a weary Logan cares for an ailing Professor X, somewhere on the Mexican border. However, Logan's attempts to hide from the world, and his legacy, are upended when a young mutant arrives, pursued by dark forces.""]",Logan,137,James Mangold,452598,2017
3,R,James Mangold,fi,226277068,8.1,77,"[""In the near future, a weary Logan cares for an ailing Professor X, somewhere on the Mexican border. However, Logan's attempts to hide from the world, and his legacy, are upended when a young mutant arrives, pursued by dark forces.""]",Logan,137,James Mangold,452598,2017
4,R,James Mangold,Action,226277068,8.1,77,"[""In the near future, a weary Logan cares for an ailing Professor X, somewhere on the Mexican border. However, Logan's attempts to hide from the world, and his legacy, are upended when a young mutant arrives, pursued by dark forces.""]",Logan,137,Hugh Jackman,452598,2017
5,R,James Mangold,Drama,226277068,8.1,77,"[""In the near future, a weary Logan cares for an ailing Professor X, somewhere on the Mexican border. However, Logan's attempts to hide from the world, and his legacy, are upended when a young mutant arrives, pursued by dark forces.""]",Logan,137,Hugh Jackman,452598,2017
7,R,James Mangold,fi,226277068,8.1,77,"[""In the near future, a weary Logan cares for an ailing Professor X, somewhere on the Mexican border. However, Logan's attempts to hide from the world, and his legacy, are upended when a young mutant arrives, pursued by dark forces.""]",Logan,137,Hugh Jackman,452598,2017
8,R,James Mangold,Action,226277068,8.1,77,"[""In the near future, a weary Logan cares for an ailing Professor X, somewhere on the Mexican border. However, Logan's attempts to hide from the world, and his legacy, are upended when a young mutant arrives, pursued by dark forces.""]",Logan,137,Patrick Stewart,452598,2017
9,R,James Mangold,Drama,226277068,8.1,77,"[""In the near future, a weary Logan cares for an ailing Professor X, somewhere on the Mexican border. However, Logan's attempts to hide from the world, and his legacy, are upended when a young mutant arrives, pursued by dark forces.""]",Logan,137,Patrick Stewart,452598,2017
11,R,James Mangold,fi,226277068,8.1,77,"[""In the near future, a weary Logan cares for an ailing Professor X, somewhere on the Mexican border. However, Logan's attempts to hide from the world, and his legacy, are upended when a young mutant arrives, pursued by dark forces.""]",Logan,137,Patrick Stewart,452598,2017
12,R,James Mangold,Action,226277068,8.1,77,"[""In the near future, a weary Logan cares for an ailing Professor X, somewhere on the Mexican border. However, Logan's attempts to hide from the world, and his legacy, are upended when a young mutant arrives, pursued by dark forces.""]",Logan,137,Dafne Keen,452598,2017
13,R,James Mangold,Drama,226277068,8.1,77,"[""In the near future, a weary Logan cares for an ailing Professor X, somewhere on the Mexican border. However, Logan's attempts to hide from the world, and his legacy, are upended when a young mutant arrives, pursued by dark forces.""]",Logan,137,Dafne Keen,452598,2017
15,R,James Mangold,fi,226277068,8.1,77,"[""In the near future, a weary Logan cares for an ailing Professor X, somewhere on the Mexican border. However, Logan's attempts to hide from the world, and his legacy, are upended when a young mutant arrives, pursued by dark forces.""]",Logan,137,Dafne Keen,452598,2017
16,PG-13,Patty Jenkins,Action,412563408,7.5,76,"['When a pilot crashes and tells of conflict in the outside world, Diana, an Amazonian warrior in training, leaves home to fight a war, discovering her full powers and true destiny.']",Wonder Woman,141,Patty Jenkins,377951,2017
17,PG-13,Patty Jenkins,Adventure,412563408,7.5,76,"['When a pilot crashes and tells of conflict in the outside world, Diana, an Amazonian warrior in training, leaves home to fight a war, discovering her full powers and true destiny.']",Wonder Woman,141,Patty Jenkins,377951,2017
18,PG-13,Patty Jenkins,Fantasy,412563408,7.5,76,"['When a pilot crashes and tells of conflict in the outside world, Diana, an Amazonian warrior in training, leaves home to fight a war, discovering her full powers and true destiny.']",Wonder Woman,141,Patty Jenkins,377951,2017
19,PG-13,Patty Jenkins,Action,412563408,7.5,76,"['When a pilot crashes and tells of conflict in the outside world, Diana, an Amazonian warrior in training, leaves home to fight a war, discovering her full powers and true destiny.']",Wonder Woman,141,Gal Gadot,377951,2017
20,PG-13,Patty Jenkins,Adventure,412563408,7.5,76,"['When a pilot crashes and tells of conflict in the outside world, Diana, an Amazonian warrior in training, leaves home to fight a war, discovering her full powers and true destiny.']",Wonder Woman,141,Gal Gadot,377951,2017
21,PG-13,Patty Jenkins,Fantasy,412563408,7.5,76,"['When a pilot crashes and tells of conflict in the outside world, Diana, an Amazonian warrior in training, leaves home to fight a war, discovering her full powers and true destiny.']",Wonder Woman,141,Gal Gadot,377951,2017
22,PG-13,Patty Jenkins,Action,412563408,7.5,76,"['When a pilot crashes and tells of conflict in the outside world, Diana, an Amazonian warrior in training, leaves home to fight a war, discovering her full powers and true destiny.']",Wonder Woman,141,Chris Pine,377951,2017
23,PG-13,Patty Jenkins,Adventure,412563408,7.5,76,"['When a pilot crashes and tells of conflict in the outside world, Diana, an Amazonian warrior in training, leaves home to fight a war, discovering her full powers and true destiny.']",Wonder Woman,141,Chris Pine,377951,2017
24,PG-13,Patty Jenkins,Fantasy,412563408,7.5,76,"['When a pilot crashes and tells of conflict in the outside world, Diana, an Amazonian warrior in training, leaves home to fight a war, discovering her full powers and true destiny.']",Wonder Woman,141,Chris Pine,377951,2017
25,PG-13,Patty Jenkins,Action,412563408,7.5,76,"['When a pilot crashes and tells of conflict in the outside world, Diana, an Amazonian warrior in training, leaves home to fight a war, discovering her full powers and true destiny.']",Wonder Woman,141,Robin Wright,377951,2017
26,PG-13,Patty Jenkins,Adventure,412563408,7.5,76,"['When a pilot crashes and tells of conflict in the outside world, Diana, an Amazonian warrior in training, leaves home to fight a war, discovering her full powers and true destiny.']",Wonder Woman,141,Robin Wright,377951,2017
27,PG-13,Patty Jenkins,Fantasy,412563408,7.5,76,"['When a pilot crashes and tells of conflict in the outside world, Diana, an Amazonian warrior in training, leaves home to fight a war, discovering her full powers and true destiny.']",Wonder Woman,141,Robin Wright,377951,2017
28,PG-13,Christopher Nolan,Action,188373161,8,94,"['Allied soldiers from Belgium, the British Empire and France are surrounded by the German Army, and evacuated during a fierce battle in World War II.']",Dunkirk,106,Christopher Nolan,350991,2017
29,PG-13,Christopher Nolan,Drama,188373161,8,94,"['Allied soldiers from Belgium, the British Empire and France are surrounded by the German Army, and evacuated during a fierce battle in World War II.']",Dunkirk,106,Christopher Nolan,350991,2017
30,PG-13,Christopher Nolan,History,188373161,8,94,"['Allied soldiers from Belgium, the British Empire and France are surrounded by the German Army, and evacuated during a fierce battle in World War II.']",Dunkirk,106,Christopher Nolan,350991,2017
31,PG-13,Christopher Nolan,Action,188373161,8,94,"['Allied soldiers from Belgium, the British Empire and France are surrounded by the German Army, and evacuated during a fierce battle in World War II.']",Dunkirk,106,Fionn Whitehead,350991,2017
32,PG-13,Christopher Nolan,Drama,188373161,8,94,"['Allied soldiers from Belgium, the British Empire and France are surrounded by the German Army, and evacuated during a fierce battle in World War II.']",Dunkirk,106,Fionn Whitehead,350991,2017
33,PG-13,Christopher Nolan,History,188373161,8,94,"['Allied soldiers from Belgium, the British Empire and France are surrounded by the German Army, and evacuated during a fierce battle in World War II.']",Dunkirk,106,Fionn Whitehead,350991,2017
34,PG-13,Christopher Nolan,Action,188373161,8,94,"['Allied soldiers from Belgium, the British Empire and France are surrounded by the German Army, and evacuated during a fierce battle in World War II.']",Dunkirk,106,Barry Keoghan,350991,2017
35,PG-13,Christopher Nolan,Drama,188373161,8,94,"['Allied soldiers from Belgium, the British Empire and France are surrounded by the German Army, and evacuated during a fierce battle in World War II.']",Dunkirk,106,Barry Keoghan,350991,2017
36,PG-13,Christopher Nolan,History,188373161,8,94,"['Allied soldiers from Belgium, the British Empire and France are surrounded by the German Army, and evacuated during a fierce battle in World War II.']",Dunkirk,106,Barry Keoghan,350991,2017
37,PG-13,Christopher Nolan,Action,188373161,8,94,"['Allied soldiers from Belgium, the British Empire and France are surrounded by the German Army, and evacuated during a fierce battle in World War II.']",Dunkirk,106,Mark Rylance,350991,2017
38,PG-13,Christopher Nolan,Drama,188373161,8,94,"['Allied soldiers from Belgium, the British Empire and France are surrounded by the German Army, and evacuated during a fierce battle in World War II.']",Dunkirk,106,Mark Rylance,350991,2017
39,PG-13,Christopher Nolan,History,188373161,8,94,"['Allied soldiers from Belgium, the British Empire and France are surrounded by the German Army, and evacuated during a fierce battle in World War II.']",Dunkirk,106,Mark Rylance,350991,2017
40,PG-13,James Gunn,Action,389813101,7.7,67,"[""The Guardians must fight to keep their newfound family together as they unravel the mystery of Peter Quill's true parentage.""]",Guardians of the Galaxy Vol. 2,136,James Gunn,343400,2017
41,PG-13,James Gunn,Adventure,389813101,7.7,67,"[""The Guardians must fight to keep their newfound family together as they unravel the mystery of Peter Quill's true parentage.""]",Guardians of the Galaxy Vol. 2,136,James Gunn,343400,2017
43,PG-13,James Gunn,fi,389813101,7.7,67,"[""The Guardians must fight to keep their newfound family together as they unravel the mystery of Peter Quill's true parentage.""]",Guardians of the Galaxy Vol. 2,136,James Gunn,343400,2017
44,PG-13,James Gunn,Action,389813101,7.7,67,"[""The Guardians must fight to keep their newfound family together as they unravel the mystery of Peter Quill's true parentage.""]",Guardians of the Galaxy Vol. 2,136,Chris Pratt,343400,2017
45,PG-13,James Gunn,Adventure,389813101,7.7,67,"[""The Guardians must fight to keep their newfound family together as they unravel the mystery of Peter Quill's true parentage.""]",Guardians of the Galaxy Vol. 2,136,Chris Pratt,343400,2017
47,PG-13,James Gunn,fi,389813101,7.7,67,"[""The Guardians must fight to keep their newfound family together as they unravel the mystery of Peter Quill's true parentage.""]",Guardians of the Galaxy Vol. 2,136,Chris Pratt,343400,2017
48,PG-13,James Gunn,Action,389813101,7.7,67,"[""The Guardians must fight to keep their newfound family together as they unravel the mystery of Peter Quill's true parentage.""]",Guardians of the Galaxy Vol. 2,136,Zoe Saldana,343400,2017
49,PG-13,James Gunn,Adventure,389813101,7.7,67,"[""The Guardians must fight to keep their newfound family together as they unravel the mystery of Peter Quill's true parentage.""]",Guardians of the Galaxy Vol. 2,136,Zoe Saldana,343400,2017
51,PG-13,James Gunn,fi,389813101,7.7,67,"[""The Guardians must fight to keep their newfound family together as they unravel the mystery of Peter Quill's true parentage.""]",Guardians of the Galaxy Vol. 2,136,Zoe Saldana,343400,2017
52,PG-13,James Gunn,Action,389813101,7.7,67,"[""The Guardians must fight to keep their newfound family together as they unravel the mystery of Peter Quill's true parentage.""]",Guardians of the Galaxy Vol. 2,136,Dave Bautista,343400,2017
53,PG-13,James Gunn,Adventure,389813101,7.7,67,"[""The Guardians must fight to keep their newfound family together as they unravel the mystery of Peter Quill's true parentage.""]",Guardians of the Galaxy Vol. 2,136,Dave Bautista,343400,2017
55,PG-13,James Gunn,fi,389813101,7.7,67,"[""The Guardians must fight to keep their newfound family together as they unravel the mystery of Peter Quill's true parentage.""]",Guardians of the Galaxy Vol. 2,136,Dave Bautista,343400,2017
56,PG-13,Rian Johnson,Action,618375718,7.5,85,"['Rey develops her newly discovered abilities with the guidance of Luke Skywalker, who is unsettled by the strength of her powers. Meanwhile, the Resistance prepares for battle with the First Order.']",Star Wars: Episode VIII - The Last Jedi,152,Rian Johnson,317137,2017
57,PG-13,Rian Johnson,Adventure,618375718,7.5,85,"['Rey develops her newly discovered abilities with the guidance of Luke Skywalker, who is unsettled by the strength of her powers. Meanwhile, the Resistance prepares for battle with the First Order.']",Star Wars: Episode VIII - The Last Jedi,152,Rian Johnson,317137,2017
58,PG-13,Rian Johnson,Fantasy,618375718,7.5,85,"['Rey develops her newly discovered abilities with the guidance of Luke Skywalker, who is unsettled by the strength of her powers. Meanwhile, the Resistance prepares for battle with the First Order.']",Star Wars: Episode VIII - The Last Jedi,152,Rian Johnson,317137,2017
59,PG-13,Rian Johnson,Action,618375718,7.5,85,"['Rey develops her newly discovered abilities with the guidance of Luke Skywalker, who is unsettled by the strength of her powers. Meanwhile, the Resistance prepares for battle with the First Order.']",Star Wars: Episode VIII - The Last Jedi,152,Daisy Ridley,317137,2017
60,PG-13,Rian Johnson,Adventure,618375718,7.5,85,"['Rey develops her newly discovered abilities with the guidance of Luke Skywalker, who is unsettled by the strength of her powers. Meanwhile, the Resistance prepares for battle with the First Order.']",Star Wars: Episode VIII - The Last Jedi,152,Daisy Ridley,317137,2017
61,PG-13,Rian Johnson,Fantasy,618375718,7.5,85,"['Rey develops her newly discovered abilities with the guidance of Luke Skywalker, who is unsettled by the strength of her powers. Meanwhile, the Resistance prepares for battle with the First Order.']",Star Wars: Episode VIII - The Last Jedi,152,Daisy Ridley,317137,2017
62,PG-13,Rian Johnson,Action,618375718,7.5,85,"['Rey develops her newly discovered abilities with the guidance of Luke Skywalker, who is unsettled by the strength of her powers. Meanwhile, the Resistance prepares for battle with the First Order.']",Star Wars: Episode VIII - The Last Jedi,152,John Boyega,317137,2017
